"aktuelle Probe"	"17"
"Einspannlänge"	832.756	"mm"
"Messlänge"	"nicht bekannt"
"Probenbreite b0"	11.4	"mm"
"Probendicke a0"	0.2	"mm"
"Prüfgeschwindigkeit"	150	"mm/min"
"Vorkraft"	0.2	"N"
"Weg nach Bruch"	5	"mm"
"E-Modul"	1127.12	"N/mm²"
"Dehnung bei Fmax"	306.402	"%"
"Dehnung bei Bruch"	309.236	"%"
"obere Streckgrenze"	"nicht bekannt"
"Kraftmaximum"	37.9483	"N/mm²"
"Bruchkraft"	"nicht bekannt"
"Geschwindigkeit E-Modul"	1	"%L0/min"
"Datum"	"20.02.2008"
"Prüfzeit"	"Standardweg"	"Standardkraft"	"Dehnung"	"Traverse abs."
"s"	"mm"	"N"	"%"	"mm"
15.98	0.475394	15.5186	0.594243	785.65
15.99	0.482572	15.7289	0.603215	785.658
16	0.489555	15.9265	0.611943	785.665
16.01	0.496423	16.1329	0.620529	785.671
16.02	0.503096	16.3445	0.62887	785.678
16.03	0.509346	16.5413	0.636683	785.684
16.04	0.515482	16.7474	0.644353	785.69
16.05	0.521846	16.9547	0.652308	785.697
16.06	0.52834	17.1534	0.660425	785.703
16.07	0.534997	17.3594	0.668747	785.71
16.08	0.542142	17.5665	0.677678	785.717
16.09	0.549499	17.7623	0.686874	785.724
16.1	0.556677	17.9659	0.695846	785.732
16.11	0.563724	18.1704	0.704656	785.739
16.12	0.570512	18.3649	0.713139	785.745
16.13	0.57668	18.565	0.72085	785.752
16.14	0.582637	18.764	0.728296	785.758
16.15	0.588741	18.9574	0.735926	785.764
16.16	0.594958	19.1578	0.743698	785.77
16.17	0.601387	19.3529	0.751734	785.776
16.18	0.608321	19.5428	0.760401	785.783
16.19	0.61545	19.7419	0.769312	785.79
16.2	0.62253	19.9396	0.778162	785.798
16.21	0.629561	20.1283	0.786951	785.805
16.22	0.636397	20.324	0.795496	785.811
16.23	0.642793	20.5251	0.803492	785.818
16.24	0.649027	20.7152	0.811284	785.824
16.25	0.655391	20.9082	0.819239	785.83
16.26	0.661869	21.1057	0.827336	785.837
16.27	0.668526	21.2945	0.835657	785.844
16.28	0.675622	21.4836	0.844528	785.851
16.29	0.682881	21.6786	0.853602	785.858
16.3	0.689945	21.8657	0.862431	785.865
16.31	0.696814	22.0533	0.871017	785.872
16.32	0.703405	22.2418	0.879257	785.878
16.33	0.709541	22.4247	0.886927	785.885
16.34	0.715531	22.6135	0.894414	785.891
16.35	0.721797	22.8008	0.902247	785.897
16.36	0.728226	22.9778	0.910283	785.903
16.37	0.734769	23.1679	0.918462	785.91
16.38	0.741817	23.3561	0.927271	785.917
16.39	0.749109	23.531	0.936386	785.924
16.4	0.756205	23.7178	0.945256	785.931
16.41	0.763269	23.9051	0.954086	785.938
16.42	0.770088	24.0776	0.96261	785.945
16.43	0.776403	24.2638	0.970504	785.951
16.44	0.782474	24.4474	0.978093	785.957
16.45	0.788724	24.6195	0.985906	785.964
16.46	0.795023	24.8041	0.993779	785.97
16.47	0.80155	24.9857	1.00194	785.977
16.48	0.808597	25.1556	1.01075	785.984
16.49	0.81584	25.3355	1.0198	785.991
16.5	0.822969	25.5151	1.02871	785.998
16.51	0.830049	25.6849	1.03756	786.005
16.52	0.836869	25.8667	1.04609	786.012
16.53	0.843168	26.0405	1.05396	786.018
16.54	0.849304	26.2069	1.06163	786.024
16.55	0.855538	26.3851	1.06942	786.031
16.56	0.861885	26.5575	1.07736	786.037
16.57	0.868461	26.7209	1.08558	786.043
16.58	0.875427	26.8957	1.09428	786.05
16.59	0.882605	27.0677	1.10326	786.058
16.6	0.889587	27.2291	1.11198	786.065
16.61	0.896439	27.4013	1.12055	786.071
16.62	0.903064	27.5712	1.12883	786.078
16.63	0.909297	27.7309	1.13662	786.084
16.64	0.915401	27.9009	1.14425	786.09
16.65	0.921765	28.0702	1.15221	786.097
16.66	0.928291	28.2308	1.16036	786.103
16.67	0.934965	28.3963	1.16871	786.11
16.68	0.94211	28.5608	1.17764	786.117
16.69	0.949483	28.7175	1.18685	786.124
16.7	0.956677	28.881	1.19585	786.132
16.71	0.963757	29.0386	1.2047	786.139
16.72	0.970577	29.1955	1.21322	786.146
16.73	0.976745	29.3567	1.22093	786.152
16.74	0.982686	29.5147	1.22836	786.158
16.75	0.988773	29.6676	1.23597	786.164
16.76	0.994974	29.8236	1.24372	786.17
16.77	1.00139	29.9759	1.25173	786.176
16.78	1.00829	30.1266	1.26036	786.183
16.79	1.01542	30.2816	1.26927	786.19
16.8	1.02245	30.4298	1.27806	786.197
16.81	1.02948	30.5784	1.28685	786.204
16.82	1.03636	30.731	1.29546	786.211
16.83	1.04278	30.8808	1.30347	786.218
16.84	1.04904	31.0267	1.3113	786.224
16.85	1.05546	31.1761	1.31932	786.23
16.86	1.06195	31.3246	1.32744	786.237
16.87	1.06861	31.4652	1.33576	786.244
16.88	1.07572	31.6122	1.34465	786.251
16.89	1.08296	31.759	1.3537	786.258
16.9	1.09001	31.9008	1.36251	786.265
16.91	1.09685	32.0439	1.37106	786.272
16.92	1.10341	32.1842	1.37926	786.278
16.93	1.10953	32.3196	1.38691	786.285
